Age (Billion Years),Scale Factor
0.0,1.0
0.2816326530612245,3.5507246250735146e-09
0.563265306122449,1.7753623156886686e-09
0.8448979591836734,1.1835748778262038e-09
1.126530612244898,8.876811586323122e-10
1.4081632653061225,7.101449270319261e-10
1.6897959183673468,5.917874392633142e-10
1.9714285714285713,5.072463765542954e-10
2.253061224489796,4.4384057951315053e-10
2.53469387755102,3.9452495958670114e-10
2.816326530612245,3.5507246364203947e-10
3.0979591836734692,3.2279314877591e-10
3.3795918367346935,2.958937197192102e-10
3.6612244897959183,2.731326643624108e-10
3.9428571428571426,2.536231883414724e-10
4.224489795918367,2.367149757893767e-10
4.506122448979592,2.2192028980582387e-10
4.7877551020408164,2.0886615511409019e-10
5.06938775510204,1.9726247983226306e-10
5.351020408163265,1.8688024405355784e-10
5.63265306122449,1.7753623185253883e-10
5.914285714285714,1.6908212557527597e-10
6.1959183673469385,1.6139657441400385e-10
6.477551020408163,1.5437933204926092e-10
6.759183673469387,1.479468598814934e-10
7.040816326530612,1.4202898548707414e-10
7.322448979591837,1.3656633219985576e-10
7.604081632653061,1.315083198968226e-10
7.885714285714285,1.2681159418681737e-10
8.167346938775509,1.2243878059470392e-10
8.448979591836734,1.1835748790869683e-10
8.730612244897959,1.1453950442820843e-10
9.012244897959183,1.1096014491522409e-10
9.293877551020408,1.075977162817912e-10
9.575510204081633,1.0443307756795137e-10
9.857142857142858,1.0144927535202687e-10
10.13877551020408,9.863123992585965e-11
10.420408163265305,9.596553073893008e-11
10.70204081632653,9.344012203550998e-11
10.983673469387755,9.104422147071504e-11
11.26530612244898,8.87681159341492e-11
11.546938775510204,8.660303993594282e-11
11.828571428571427,8.454106279478517e-11
12.110204081632652,8.257499156716183e-11
12.391836734693877,8.069828721351415e-11
12.673469387755102,7.890499194224421e-11
12.955102040816326,7.718966603058871e-11
13.236734693877551,7.554733271091301e-11
13.518367346938774,7.397342994621877e-11
13.8,7.246376811069103e-11
